,source,target
661,Tom Jones,Eva Herzigov
662,Tom Jones,Robbie Williams
663,Tom Jones,Antonio Bandera
664,Tom Jones,Keith Richards
665,Tom Jones,George Michael
666,Tom Jones,Jose Carreras
667,Tom Jones,Anthony Hopkins
668,Eva Herzigov,Elton John
669,Eva Herzigov,Michael Flatley
670,Eva Herzigov,Mick Jagger
671,Eva Herzigov,Paul McCartney
672,Eva Herzigov,Rod Stewart
673,Eva Herzigov,Tom Jones
674,Eva Herzigov,Robbie Williams
675,Eva Herzigov,Antonio Bandera
676,Eva Herzigov,Keith Richards
677,Eva Herzigov,George Michael
678,Eva Herzigov,Jose Carreras
679,Eva Herzigov,Anthony Hopkins
680,Robbie Williams,Elton John
681,Robbie Williams,Michael Flatley
682,Robbie Williams,Mick Jagger
683,Robbie Williams,Paul McCartney
684,Robbie Williams,Rod Stewart
685,Robbie Williams,Tom Jones
686,Robbie Williams,Eva Herzigov
687,Robbie Williams,Antonio Bandera
688,Robbie Williams,Keith Richards
689,Robbie Williams,George Michael
690,Robbie Williams,Jose Carreras
691,Robbie Williams,Anthony Hopkins
692,Antonio Bandera,Elton John
693,Antonio Bandera,Michael Flatley
694,Antonio Bandera,Mick Jagger
695,Antonio Bandera,Paul McCartney
696,Antonio Bandera,Rod Stewart
697,Antonio Bandera,Tom Jones
698,Antonio Bandera,Eva Herzigov
699,Antonio Bandera,Robbie Williams
700,Antonio Bandera,Keith Richards
701,Antonio Bandera,George Michael
702,Antonio Bandera,Jose Carreras
703,Antonio Bandera,Anthony Hopkins
704,Keith Richards,Elton John
705,Keith Richards,Michael Flatley
706,Keith Richards,Mick Jagger
707,Keith Richards,Paul McCartney
708,Keith Richards,Rod Stewart
709,Keith Richards,Tom Jones
710,Keith Richards,Eva Herzigov
711,Keith Richards,Robbie Williams
712,Keith Richards,Antonio Bandera
713,Keith Richards,George Michael
714,Keith Richards,Jose Carreras
715,Keith Richards,Anthony Hopkins
716,George Michael,Elton John
717,George Michael,Michael Flatley
718,George Michael,Mick Jagger
719,George Michael,Paul McCartney
720,George Michael,Rod Stewart
721,George Michael,Tom Jones
722,George Michael,Eva Herzigov
723,George Michael,Robbie Williams
724,George Michael,Antonio Bandera
725,George Michael,Keith Richards
726,George Michael,Jose Carreras
727,George Michael,Anthony Hopkins
728,Jose Carreras,Elton John
729,Jose Carreras,Michael Flatley
730,Jose Carreras,Mick Jagger
731,Jose Carreras,Paul McCartney
732,Jose Carreras,Rod Stewart
733,Jose Carreras,Tom Jones
734,Jose Carreras,Eva Herzigov
735,Jose Carreras,Robbie Williams
736,Jose Carreras,Antonio Bandera
737,Jose Carreras,Keith Richards
738,Jose Carreras,George Michael
739,Jose Carreras,Anthony Hopkins
740,Anthony Hopkins,Elton John
741,Anthony Hopkins,Michael Flatley
742,Anthony Hopkins,Mick Jagger
743,Anthony Hopkins,Paul McCartney
744,Anthony Hopkins,Rod Stewart
745,Anthony Hopkins,Tom Jones
746,Anthony Hopkins,Eva Herzigov
747,Anthony Hopkins,Robbie Williams
748,Anthony Hopkins,Antonio Bandera
749,Anthony Hopkins,Keith Richards
750,Anthony Hopkins,George Michael
